Category: Tool Id: Solar Pickaxe Old Value: 334593 - Value: 334593 | Rap changed: 0%
Category: Tool Id: Amethyst Pickaxe Old Value: 5080000 - Value: 5080000 | Rap changed: 0%
Category: Tool Id: Diamond Pickaxe Old Value: 1400000 - Value: 1400000 | Rap changed: 0%
Category: Tool Id: Event Kraken Fishing Rod Old Value: 121329848 - Value: 121329848 | Rap changed: 0%
Category: Pickaxe Id: Solar Pickaxe Old Value: 334593 - Value: 536114 | Rap changed: 37%
Category: Pickaxe Id: Amethyst Pickaxe Old Value: 5080000 - Value: 1129729 | Rap changed: -350%
Category: Pickaxe Id: Comet Pickaxe Old Value: 210301653 - Value: 210301653 | Rap changed: 0%
Category: Pickaxe Id: Diamond Pickaxe Old Value: 1400000 - Value: 1478317 | Rap changed: 5%
Category: Pickaxe Id: Obsidian Pickaxe Old Value: 9588147 - Value: 9588147 | Rap changed: 0%
Category: Pickaxe Id: Molten Pickaxe Old Value: 45446403 - Value: 45446403 | Rap changed: 0%
Category: Card Id: Titanic Sea Dragon Card Old Value: 1500000000 - Value: 1500000000 | Rap changed: 0%
Category: Card Id: Huge Sea Dragon Card Old Value: 342822399 - Value: 342822399 | Rap changed: 0%
Category: Card Id: Huge Anime Scorpion Card Old Value: 113888514 - Value: 113888514 | Rap changed: 0%
Category: Card Id: Titanic Sea Dragon Card Old Value: 1500000000 - Value: 2436096004 | Rap changed: 38%
Category: Card Id: Titanic Sea Dragon Card Old Value: 1500000000 - Value: 2674091894 | Rap changed: 43%
Category: Card Id: Anime Lemur Card Old Value: 2190025 - Value: 2190025 | Rap changed: 0%
Category: Card Id: Anime Lemur Card Old Value: 2190025 - Value: 90674755 | Rap changed: 97%
Category: Card Id: Anime Lemur Card Old Value: 2190025 - Value: 1311240 | Rap changed: -68%
Category: Card Id: Anime Wolf Card Old Value: 395313332 - Value: 395313332 | Rap changed: 0%
Category: Card Id: Anime Tanuki Card Old Value: 294309103 - Value: 294309103 | Rap changed: 0%
Category: Card Id: Titanic Sea Dragon Card Old Value: 1500000000 - Value: 1058442884 | Rap changed: -42%
Category: Card Id: Huge Anime Scorpion Card Old Value: 113888514 - Value: 1274313796 | Rap changed: 91%
Category: Card Id: Huge Sea Dragon Card Old Value: 342822399 - Value: 130376826 | Rap changed: -163%
Category: Card Id: Anime Tanuki Card Old Value: 294309103 - Value: 6330590 | Rap changed: -4549%
Category: Card Id: Titanic Anime Cat Card Old Value: 4238498942 - Value: 4238498942 | Rap changed: 0%
Category: Card Id: Huge Sea Dragon Card Old Value: 342822399 - Value: 7993064 | Rap changed: -4189%
Category: Card Id: Anime Tanuki Card Old Value: 294309103 - Value: 7306401 | Rap changed: -3929%
Category: Card Id: Huge Anime Scorpion Card Old Value: 113888514 - Value: 9223550 | Rap changed: -1135%
Category: Card Id: Titanic Sea Dragon Card Old Value: 1500000000 - Value: 1056089800 | Rap changed: -43%
Category: Card Id: Anime Lemur Card Old Value: 2190025 - Value: 662293 | Rap changed: -231%
Category: Card Id: Nature Axolotl Card Old Value: 101381 - Value: 101381 | Rap changed: 0%
Category: Card Id: Pog Dog Card Old Value: 50520 - Value: 50520 | Rap changed: 0%
Category: Card Id: Huge Pog Cat Card Old Value: 86642006 - Value: 86642006 | Rap changed: 0%
Category: Card Id: Wicked Agony Card Old Value: 330529 - Value: 330529 | Rap changed: 0%
Category: Card Id: Pog Dog Card Old Value: 50520 - Value: 2033 | Rap changed: -2385%
Category: Card Id: Huge Blurred Axolotl Card Old Value: 312301206 - Value: 312301206 | Rap changed: 0%
Category: Card Id: Pog Monkey Card Old Value: 44035 - Value: 44035 | Rap changed: 0%
Category: Card Id: Huge Nightmare Dog Card Old Value: 8968313644 - Value: 8968313644 | Rap changed: 0%
Category: Card Id: Huge Nightmare Dog Card Old Value: 8968313644 - Value: 22010879 | Rap changed: -40645%
Category: Card Id: Titanic Cupcake Pegasus Card Old Value: 7729876751 - Value: 7729876751 | Rap changed: 0%
Category: Card Id: Gamer Shiba Card Old Value: 876 - Value: 876 | Rap changed: 0%
Category: Card Id: Huge Blurred Axolotl Card Old Value: 312301206 - Value: 3576546078 | Rap changed: 91%
